Date Time,NO (Invitado1),NO2 (Invitado1),NOx (Invitado1)
07/17/26 04:47,65.023,122.677,187.7
07/17/26 04:48,65,122.675,187.608
07/17/26 04:49,65.053,122.41,187.463
07/17/26 04:50,65.092,122.192,187.242
07/17/26 04:51,65.1,122.253,187.377
07/17/26 04:52,65.1,122.292,187.425
07/17/26 04:53,65.075,122.612,187.635
07/17/26 04:54,65.033,122.642,187.675
07/17/26 04:55,64.975,122.865,187.84
07/17/26 04:56,64.925,123.208,188.167
07/17/26 04:57,65.025,123.438,188.458
07/17/26 04:58,65.042,123.467,188.5
07/17/26 04:59,65.025,123.553,188.553
07/17/26 05:00,65.075,123.525,188.592
07/17/26 05:01,65.075,123.468,188.57
07/17/26 05:02,65.158,123.342,188.505
07/17/26 05:03,76.35,112.163,188.478
07/17/26 05:04,116.092,73.368,189.46
07/17/26 05:05,120.522,68.918,189.407
07/17/26 05:06,120.458,69,189.425
07/17/26 05:07,120.5,68.833,189.308
07/17/26 05:08,120.617,68.533,189.108
07/17/26 05:09,120.7,68.425,189.158
07/17/26 05:10,120.642,68.467,189.108
07/17/26 05:11,120.735,68.313,189.023
07/17/26 05:12,120.708,68.125,188.85
07/17/26 05:13,120.667,68.033,188.697
07/17/26 05:14,120.642,67.842,188.45
07/17/26 05:15,120.497,68.082,188.523
07/17/26 05:16,120.308,68.175,188.483
07/17/26 05:17,120.23,68.022,188.243
07/17/26 05:18,119.95,68.15,188.108
07/17/26 05:19,119.817,68.278,188.1
07/17/26 05:20,119.55,68.542,188.133
07/17/26 05:21,119.318,68.703,187.977
07/17/26 05:22,119.167,68.45,187.667
07/17/26 05:23,119.142,68.303,187.442
07/17/26 05:24,118.983,68.433,187.408
07/17/26 05:25,118.92,68.327,187.247
07/17/26 05:26,118.958,68.1,187.117
07/17/26 05:27,118.897,68.148,187.1
07/17/26 05:28,118.925,68.067,186.958
07/17/26 05:29,118.743,68.118,186.853
07/17/26 05:30,118.817,68,186.825
07/17/26 05:31,118.978,67.893,186.852
07/17/26 05:32,119.067,67.808,186.85
07/17/26 05:33,118.98,67.978,186.923
07/17/26 05:34,119.025,67.983,187.008
07/17/26 05:35,119.125,67.912,187.09
07/17/26 05:36,119.2,67.867,187.067
07/17/26 05:37,119.2,67.847,187.1
07/17/26 05:38,119.292,67.867,187.158
07/17/26 05:39,119.412,67.822,187.175
07/17/26 05:40,119.517,67.617,187.125
07/17/26 05:41,119.678,67.555,187.2
07/17/26 05:42,119.783,67.5,187.292
07/17/26 05:43,119.978,67.583,187.56
07/17/26 05:44,120.033,67.458,187.492
07/17/26 05:45,120.078,67.322,187.4
07/17/26 05:46,120.067,67.475,187.517
07/17/26 05:47,120.022,67.542,187.567
07/17/26 05:48,120.025,67.508,187.542
07/17/26 05:49,120.05,67.425,187.475
07/17/26 05:50,119.958,67.35,187.308
07/17/26 05:51,119.948,67.46,187.383
07/17/26 05:52,119.942,67.692,187.592
07/17/26 05:53,119.925,67.642,187.547
07/17/26 05:54,119.967,67.667,187.633
07/17/26 05:55,119.995,67.865,187.84
07/17/26 05:56,119.958,68.1,188.117
07/17/26 05:57,120.078,68.237,188.337
07/17/26 05:58,120.25,68.142,188.425
07/17/26 05:59,120.423,68.147,188.525
07/17/26 06:00,120.5,68.258,188.692
07/17/26 06:01,120.442,68.392,188.81
07/17/26 06:02,120.608,68.2,188.775
07/17/26 06:03,120.7,68.053,188.773
07/17/26 06:04,120.608,68.05,188.658
07/17/26 06:05,120.522,68.122,188.643
07/17/26 06:06,120.5,67.983,188.425
07/17/26 06:07,120.448,67.9,188.3
07/17/26 06:08,120.5,67.875,188.333
07/17/26 06:09,120.442,67.858,188.257
07/17/26 06:10,120.4,67.775,188.2
07/17/26 06:11,120.458,67.82,188.278
07/17/26 06:12,120.433,67.567,188.025
07/17/26 06:13,120.603,67.507,188.107
07/17/26 06:14,120.575,67.525,188.125
07/17/26 06:15,120.58,67.57,188.125
07/17/26 06:16,120.483,67.608,188.083
07/17/26 06:17,120.355,67.757,188.107
07/17/26 06:18,120.333,67.7,188.058
07/17/26 06:19,119.982,68.197,188.153
07/17/26 06:20,119.683,68.308,187.983
07/17/26 06:21,119.608,68.118,187.747
07/17/26 06:22,119.417,68.033,187.475
07/17/26 06:23,119.197,67.98,187.165
07/17/26 06:24,119.075,67.833,186.975
07/17/26 06:25,118.847,68.223,187.07
07/17/26 06:26,119.042,67.933,186.975
07/17/26 06:27,119.08,67.907,186.948
07/17/26 06:28,118.925,67.767,186.675
07/17/26 06:29,118.85,67.775,186.68
07/17/26 06:30,119.208,67.467,186.675
